year,month,day,temperature_mean_c,temperature_min_c,temperature_max_c,dewpoint_mean_c,wind_speed_mean_ms,surface_pressure_mean_pa,precipitation_total_mm
2020,2,1,26.67512,24.469635,29.333405,22.326303,3.0874407,101209.24,0.30183792
2020,2,2,26.369507,23.582428,29.299957,21.712626,3.1747124,101394.914,0.13256073
2020,2,3,26.086325,23.851715,28.596832,21.19574,2.926582,101366.26,0.078201294
2020,2,4,26.1905,23.93106,28.519928,22.055868,3.0868149,101235.49,0.36001205
2020,2,5,26.104239,23.35025,28.871246,21.341421,2.6633942,101254.65,0.0023841858
2020,2,6,26.067474,23.605133,28.829987,21.381918,2.9789238,101260.875,0.0023841858
2020,2,7,26.672913,24.60318,29.163239,21.639862,3.7402027,101299.0,0.0
2020,2,8,27.061228,25.023102,29.472076,21.507162,3.821985,101319.16,0.0019073486
2020,2,9,26.898336,24.556305,29.225983,21.795786,3.8518445,101357.87,0.5116463
2020,2,10,26.849691,24.60147,29.310455,20.588745,3.8887303,101353.0,0.09346008
2020,2,11,26.84904,24.865631,29.295563,22.07132,4.340362,101398.32,1.5330315
2020,2,12,26.755606,24.540192,29.075836,22.582062,4.5440874,101492.5,1.3198853
2020,2,13,26.302317,23.245758,29.342194,21.692627,2.990799,101354.52,0.0052452087
2020,2,14,26.055084,22.926666,30.014069,20.92283,2.1118505,101164.99,0.0
2020,2,15,25.624664,22.51358,29.933746,19.871744,2.051443,101201.54,0.0023841858
2020,2,16,25.789377,23.112457,29.06485,20.300802,2.3472774,101349.88,0.00047683716
2020,2,17,25.808268,23.404694,29.340729,19.924387,2.1142416,101409.5,0.00047683716
2020,2,18,25.918497,23.381012,29.184723,20.141632,2.248295,101363.336,0.0
2020,2,19,25.891684,23.663483,28.685211,20.054403,2.692497,101342.086,0.0
2020,2,20,26.145071,23.379791,29.147858,19.99647,2.659823,101342.02,0.0009536743
2020,2,21,27.082,23.749664,29.25235,21.65806,4.0915713,101465.02,0.15544891
2020,2,22,27.317423,25.092926,29.475739,22.968618,4.409737,101506.65,0.54883957
2020,2,23,26.935913,24.248932,29.192291,22.803762,3.633666,101387.25,0.32281876
2020,2,24,27.012848,24.436188,29.540924,22.86439,3.0978005,101150.35,0.015258789
2020,2,25,27.428528,25.143219,30.093903,23.321442,3.2085102,101042.56,0.17213821
2020,2,26,27.296661,25.392242,29.833649,23.160135,2.765052,101100.914,0.17690659
2020,2,27,27.228638,25.317291,29.637604,22.881144,3.0422564,101127.9,0.030040741
2020,2,28,27.209372,24.935211,29.689362,22.484344,3.328488,101049.414,0.118255615
2021,2,1,26.444326,24.258453,28.883698,21.421103,3.922877,101445.28,0.00333786
2021,2,2,26.428415,24.319,28.82608,21.696798,3.7660625,101430.88,0.4377365
2021,2,3,25.731293,23.192047,28.127106,20.4439,3.7872562,101410.91,0.0
2021,2,4,25.383566,22.322906,28.346344,18.966623,3.6451378,101392.66,0.0
2021,2,5,25.037558,22.325348,27.896637,19.20523,3.4534905,101284.34,0.0
2021,2,6,25.00118,22.30606,28.228668,19.436728,3.4178307,101201.26,0.0
2021,2,7,25.15618,22.410553,28.344635,20.296753,4.00987,101260.07,0.0
2021,2,8,25.725962,23.147125,28.44815,20.36254,4.0949473,101323.336,0.00047683716
2021,2,9,25.516928,22.65274,28.298248,18.41503,3.7857008,101243.27,0.0
2021,2,10,24.896994,22.37149,28.006012,19.004007,2.6058042,101158.52,0.0
2021,2,11,24.654673,22.396393,27.499908,18.125559,2.125652,101144.59,0.0047683716
2021,2,12,25.153177,22.246979,28.194977,18.22172,2.6044126,101213.88,0.0023841858
